#location	westlimit southlimit eastlimit northlimit
Toronto	-79.799207 43.401253 -78.801023 43.901488
Canada	-141.0 41.68 -52.62 59.96
Syria	35.7166 32.3111 42.3763 37.3187
Continental_USA	-124.62 25.1 -67.38 48.99
USA_exclude_Canada	-124.62 25.1 -67.38 42.55
Australia	113.27 -43.87 153.89 -11.04
NZ	166.31 -47.4 178.65 -34.35
Europe	-28.04 36.98 23.77 68.67
UK	-10.52 49.9 2.06 58.83
France	-4.88 42.39 7.85 50.23
Germany	5.87 47.27 15.04 54.54
Belgium	2.5448 49.497 6.4081 51.5051
Demkark	8.0722 54.5591 12.7693 57.7518
Sweden	10.96 55.34 20.74 69.06
Austria	9.5308 46.3723 17.1607 49.0206
South_America	-93.98 -56.55 -32.59 13.08
North_Africa	-17.31 19.93 34.24 36.95
